county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name,ny_listing_status,federal_listing_status
Albany,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,Protected Bird,not listed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,Threatened,not listed
Albany,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,Protected Bird,not listed
Albany,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,Protected Bird,not listed
Albany,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,Protected Bird,not listed
Albany,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,Protected Bird,not listed
Albany,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,Threatened,not listed
Albany,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill,Protected Bird,not listed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,Protected Bird,not listed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,Protected Bird,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,Protected Bird,not listed
Albany,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,Protected Bird,not listed
Albany,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,Protected Bird,not listed
Albany,Animal,Birds,Crows and Jays,Corvus ossifragus,Fish Crow,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,Protected Bird,not listed
Albany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,Protected Bird,not listed
Albany,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,Creepers,Certhia americana,Brown Creeper,Protected Bird,not listed
Albany,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,Protected Bird,not listed
Albany,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,Protected Bird,not listed
Albany,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,Protected Bird,not listed
Albany,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,Protected Bird,not listed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,Special Concern,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,Special Concern,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,Special Concern,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk,Special Concern,not listed
Albany,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-winged Hawk,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,Threatened,not listed
Albany,Animal,Birds,Cardinals and Buntings,Cardinalis cardinalis,Northern Cardinal,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,Endangered,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,Protected Bird,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,Protected Bird,not listed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,Special Concern,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,Protected Bird,not listed
Albany,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,Protected Bird,not listed
Albany,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,Protected Bird,not listed
Albany,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,Protected Bird,not listed
Albany,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet,Protected Bird,not listed
Albany,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,Protected Bird,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,Protected Bird,not listed
Albany,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,Protected Bird,not listed
Albany,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,Protected Bird,not listed
Albany,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,Protected Bird,not listed
Albany,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,Special Concern,not listed
Albany,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,Protected Bird,not listed
Albany,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,Protected Bird,not listed
Albany,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,not listed,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,Protected Bird,not listed
Albany,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,Protected Bird,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,Protected Bird,not listed
Albany,Animal,Birds,Owls,Asio otus,Long-eared Owl,Protected Bird,not listed
Albany,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,Protected Bird,not listed
Albany,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,Protected Bird,not listed
Albany,Animal,Birds,Owls,Strix varia,Barred Owl,Protected Bird,not listed
Albany,Animal,Birds,Owls,Tyto alba,Barn Owl,Protected Bird,not listed
Albany,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,not listed,not listed
Albany,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,Protected Bird,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,Protected Bird,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,Protected Bird,not listed
Albany,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,Sora,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail,Threatened,not listed
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,Threatened,not listed
Albany,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,Special Concern,not listed
Albany,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,Special Concern,not listed
Albany,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga cerulea,Cerulean Warbler,Special Concern,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,Special Concern,not listed
Albany,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,Protected Bird,not listed
Albany,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,Protected Bird,not listed
Albany,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,Threatened,not listed
Albany,Animal,Birds,Wrens,Thryothorus ludovicianus,Carolina Wren,Protected Bird,not listed
Albany,Animal,Birds,Wrens,Troglodytes aedon,House Wren,Protected Bird,not listed
Albany,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,Protected Bird,not listed
Albany,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,Protected Bird,not listed
Albany,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,Protected Bird,not listed
Albany,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,Protected Bird,not listed
Albany,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,Protected Bird,not listed
Albany,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,Protected Bird,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,Protected Bird,not listed
Albany,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,Protected Bird,not listed
Albany,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,Protected Bird,not listed
Albany,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,Special Concern,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,Protected Bird,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,Protected Bird,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,Protected Bird,not listed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,Protected Bird,not listed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,Special Concern,not listed
Albany,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,Protected Bird,not listed
Albany,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Protected Bird,not listed
Albany,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,Protected Bird,not listed
Albany,Animal,Birds,Swallows,Progne subis,Purple Martin,Protected Bird,not listed
Albany,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,Protected Bird,not listed
Albany,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,Protected Bird,not listed
Albany,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,not listed,not listed
Albany,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,Protected Bird,not listed
Albany,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,Protected Bird,not listed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,Protected Bird,not listed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,Threatened,not listed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,Protected Bird,not listed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,Protected Bird,not listed
Albany,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,Threatened,not listed
Albany,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,Protected Bird,not listed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,Protected Bird,not listed
Albany,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,Protected Bird,not listed
Albany,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe,Protected Bird,not listed
Albany,Animal,Butterflies and Moths,Moths,Chytonix sensilis,Sensitive Chytonix,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis martialis,Mottled Duskywing,Special Concern,not listed
Albany,Animal,Butterflies and Moths,Moths,Zanclognatha martha,Pine Barrens Zanclognatha,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Cleora projecta,Projecta Gray,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Zale curema,Black-eyed Zale,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys irus,Frosted Elfin,Threatened,not listed
Albany,Animal,Butterflies and Moths,Moths,Erastria coloraria,Broad-lined Catopyrrha,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Virbia aurantiaca,Orange Holomelina,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Macrochilo bivittata,Two-striped Cord Grass Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Renia nemoralis,Chocolate Renia,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Chaetaglaea cerata,Waxed Sallow,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Atrytonopsis hianna,Dusted Skipper,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing,Endangered,not listed
Albany,Animal,Butterflies and Moths,Moths,Acronicta albarufa,Barrens Dagger Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Catocala pretiosa pretiosa,Precious Underwing,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Catocala umbrosa,An Underwing Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Cerma cora,Bird Dropping Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Fagitana littera,Marsh Fern Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Hemileuca maia maia,Inland Barrens Buckmoth,Special Concern,not listed
Albany,Animal,Butterflies and Moths,Moths,Papaipema sp. 2 nr. pterisii,Ostrich Fern Borer Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Sympistis dentata,Toothed Apharetra,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys henrici,Henry's Elfin,Special Concern,not listed
Albany,Animal,Butterflies and Moths,Moths,Speranza exonerata,Barrens Itame,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Anisota senatoria,Orange-striped Oakworm Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Bagisara rectifascia,Straight Lined Mallow Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Paectes abrostolella,A Notodontid Moth,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Dargida rubripennis,The Pink Streak,not listed,not listed
Albany,Animal,Butterflies and Moths,Moths,Zale lunifera,Pine Barrens Zale,not listed,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,Endangered,Endangered
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Phyciodes batesii batesii,Tawny Crescent,Special Concern,not listed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Satyrium edwardsii,Edwards' Hairstreak,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Williamsonia lintneri,Ringed Boghaunter,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Stylurus plagiatus,Russet-tipped Clubtail,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Neurocordulia obsoleta,Umber Shadowdragon,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Anax longipes,Comet Darner,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Somatochlora kennedyi,Kennedy's Emerald,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus vastus,Cobra Clubtail,not listed,not listed
Albany,Animal,Dragonflies and Damselflies,Dragonflies,Stylurus amnicola,Riverine Clubtail,not listed,not listed
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser oxyrinchus,Atlantic Sturgeon,Protected - no open season,Endangered
Albany,Animal,Fish,"Minnows, Shiners, Suckers",Notropis bifrenatus,Bridle Shiner,not listed,not listed
Albany,Animal,Fish,"Minnows, Shiners, Suckers",Couesius plumbeus,Lake Chub,not listed,not listed
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser brevirostrum,Shortnose Sturgeon,Endangered,Endangered
Albany,Animal,Mammals,Bats,Myotis sodalis,Indiana Bat,Endangered,Endangered
Albany,Animal,Mammals,Rodents,Neotoma magister,Allegheny Woodrat,Endangered,not listed
Albany,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,Threatened,Threatened
Albany,Animal,Mammals,Bats,Myotis leibii,Eastern Small-footed Myotis,Special Concern,not listed
Albany,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,not listed,not listed
Albany,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,not listed,not listed
Albany,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis cariosa,Yellow Lampmussel,not listed,not listed
Albany,Animal,Mussels and Clams,Freshwater Mussels,Leptodea ochracea,Tidewater Mucket,not listed,not listed
Albany,Animal,Mussels and Clams,Freshwater Mussels,Ligumia nasuta,Eastern Pondmussel,not listed,not listed
Albany,Animal,Mussels and Clams,Freshwater Mussels,Anodonta implicata,Alewife Floater,not listed,not listed
Albany,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,Game with no open season,not listed
Albany,Animal,Reptiles,Turtles,Clemmys guttata,Spotted Turtle,Special Concern,not listed
Albany,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,Game with no open season,not listed
Albany,Animal,Reptiles,Turtles,Chelydra serpentina,Snapping Turtle,Game with open season,not listed
Albany,Animal,Reptiles,Turtles,Apalone spinifera,Spiny Softshell,Special Concern,not listed
Albany,Animal,Reptiles,Snakes,Agkistrodon contortrix,Copperhead,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Carphophis amoenus,Eastern Wormsnake,Special Concern,not listed
Albany,Animal,Reptiles,Snakes,Coluber constrictor,Racer,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,Threatened,not listed
Albany,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Heterodon platirhinos,Eastern Hog-nosed Snake,Special Concern,not listed
Albany,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Nerodia sipedon,Northern Watersnake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Pantherophis spiloides,Eastern Ratsnake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,Game with no open season,not listed
Albany,Animal,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake,Game with no open season,not listed
Albany,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,Special Concern,not listed
Albany,Animal,Reptiles,Turtles,Terrapene carolina,Eastern Box Turtle,Special Concern,not listed
